FLIGHT,DESTGEO,BAREA,STRATA,PEAK,DEPTIME,ARRTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q4BAGS,Q4STORE,Q4FOOD,Q8COM1,Q8COM2,Q8COM3,HOME,Q17COUNTRY,Q18AGE,Q19GENDER,Q21FLY,WEIGHT
226,7,A,2,3,0.697916667,0.604166667,135,2,,,1,2,2,408,,,4,US,5,1,2,0.669478
875,8,G,3,3,0.809027778,0.708333333,145,2,,,0,1,1,,,,10,US,2,1,2,0.725279
226,7,A,2,3,0.697916667,0.479166667,316,3,,,1,2,1,501,4,,16,INDIA,6,1,2,0.669478
875,8,G,3,3,0.809027778,0.729166667,115,1,,,0,0,0,,,,99,,6,1,2,0.725279
226,7,A,2,3,0.697916667,0.572916667,180,3,,,1,2,2,999,,,16,INDIA,7,1,2,0.669478
875,8,G,3,3,0.809027778,0.625,265,3,,,2,2,1,,,,16,JAPAN,3,2,2,0.725279
226,7,A,2,3,0.697916667,0.597222222,145,2,,,1,0,0,704,,,16,INDIA,5,1,2,0.669478
875,8,G,3,3,0.809027778,0.5,445,3,,,2,1,2,,,,16,JAPAN,6,2,2,0.725279
226,7,A,2,3,0.697916667,0.625,105,2,,,1,2,1,,,,99,,5,2,2,0.669478
875,8,G,3,3,0.809027778,0.708333333,145,2,,,2,1,1,,,,16,JAPAN,6,2,2,0.725279
226,7,A,2,3,0.697916667,0.59375,150,1,,,1,2,2,31,,,16,INDIA,4,2,2,0.669478
226,7,A,2,3,0.697916667,N,N,2,,,1,2,2,999,,,16,INDIA,4,2,2,0.669478
226,7,A,2,3,0.697916667,0.604166667,135,1,,,1,1,2,104,,,16,INDIA,3,1,2,0.669478
875,8,G,3,3,0.809027778,N,N,2,,,2,1,1,,,,16,JAPAN,3,0,3,0.725279
875,8,G,3,3,0.809027778,0.6875,175,2,,,1,1,2,,,,16,JAPAN,7,1,2,0.725279
2040,2,C,2,2,0.666666667,0.604166667,90,1,,,2,2,2,,,,12,US,5,1,2,0.977951
217,1,E,2,2,0.642361111,0.5625,115,1,,,2,2,2,208,,,12,US,4,1,2,2.167946
217,1,E,2,2,0.642361111,0.541666667,145,1,,,2,2,1,608,,,12,US,6,1,2,2.167946
2040,2,C,2,2,0.666666667,0.59375,105,3,,,1,2,1,16,102,,12,US,4,2,2,0.977951
2040,2,C,2,2,0.666666667,0.604166667,90,2,,,1,2,2,614,,,12,US,5,2,0,0.977951
2040,2,C,2,2,0.666666667,0.614583333,75,1,,,2,1,2,202,,,12,US,3,1,1,0.977951
217,1,E,2,2,0.642361111,0.530555556,161,4,,,1,1,2,,,,12,US,2,2,2,2.167946
27,2,G,3,2,0.746527778,0.666666667,115,1,,,1,2,2,507,202,,16,TAIWAN,5,2,3,0.669478
2040,2,C,2,2,0.666666667,0.611111111,80,2,,,1,0,0,609,,,12,US,5,2,1,0.977951
27,2,G,3,2,0.746527778,0.666666667,115,1,,,1,2,2,505,,,4,US,3,1,2,0.669478
27,2,G,3,2,0.746527778,0.645833333,145,1,,,1,2,2,,,,4,US,4,1,2,0.669478
27,2,G,3,2,0.746527778,0.635416667,160,2,3,,1,2,2,,,,1,US,2,1,3,0.669478
2040,2,C,2,2,0.666666667,0.583333333,120,4,,,1,1,2,301,,,12,US,1,2,3,0.977951
27,2,G,3,2,0.746527778,0.652777778,135,3,,,1,0,0,,,,2,US,5,1,2,0.669478
2040,2,C,2,2,0.666666667,N,N,1,,,2,1,2,,,,12,US,3,2,2,0.977951
27,2,G,3,2,0.746527778,0.666666667,115,2,,,1,2,2,501,,,10,US,1,1,3,0.669478
2040,2,C,2,2,0.666666667,0.604166667,90,1,,,2,1,2,,,,5,US,4,1,1,0.977951
27,2,G,3,2,0.746527778,0.645833333,145,2,3,,1,0,1,202,205,319,4,US,4,2,2,0.669478
2040,2,C,2,2,0.666666667,0.607638889,85,1,,,2,1,2,993,,,12,US,3,1,2,0.977951
2040,2,C,2,2,0.666666667,0.583333333,120,1,,,2,2,2,,,,12,US,6,2,1,0.977951
2040,2,C,2,2,0.666666667,0.604166667,90,1,,,1,1,0,505,506,,19,AUSTRALIA,4,1,1,0.977951
27,2,G,3,2,0.746527778,0.569444444,255,2,,,1,2,1,,,,10,US,1,1,3,0.669478
2040,2,C,2,2,0.666666667,0.625,60,1,,,2,2,2,,,,12,US,3,1,2,0.977951
2040,2,C,2,2,0.666666667,0.625,60,1,,,2,2,2,,,,12,US,3,1,2,0.977951
27,2,G,3,2,0.746527778,0.583333333,235,3,,,1,2,2,,,,90,US,1,1,3,0.669478
27,2,G,3,2,0.746527778,0.666666667,115,3,,,1,1,2,505,,,4,US,1,2,2,0.669478
2040,2,C,2,2,0.666666667,0.504166667,234,0,,,0,0,0,,,,12,US,5,1,2,0.977951
27,2,G,3,2,0.746527778,0.584027778,234,3,,,1,2,1,501,,,16,TAIWAN,3,1,2,0.669478
2040,2,C,2,2,0.666666667,0.583333333,120,2,,,1,2,1,,,,99,0,0,0,0,0.977951
27,2,G,3,2,0.746527778,0.583333333,235,2,,,1,2,2,,,,4,US,3,1,2,0.669478
2040,2,C,2,2,0.666666667,0.583333333,120,2,,,1,0,0,,,,3,US,3,2,2,0.977951
27,2,G,3,2,0.746527778,0.645833333,145,3,,,1,1,2,,,,4,US,4,2,2,0.669478
2040,2,C,2,2,0.666666667,0.541666667,180,3,,,2,1,1,,,,12,US,4,2,2,0.977951
27,2,G,3,2,0.746527778,0.597222222,215,1,,,1,1,1,501,,,16,TAIWAN,3,2,3,0.669478
2040,2,C,2,2,0.666666667,0.625,60,2,,,1,0,0,,,,12,US,6,1,2,0.977951
27,2,G,3,2,0.746527778,0.541666667,295,2,,,1,1,1,,,,16,MALAYSIA,2,2,3,0.669478
27,2,G,3,2,0.746527778,0.618055556,185,3,,,1,2,2,,,,3,US,4,2,1,0.669478
27,2,G,3,2,0.746527778,0.729166667,25,3,,,1,1,1,,,,16,TAIWAN,2,1,2,0.669478
27,2,G,3,2,0.746527778,0.729166667,25,3,,,1,2,2,,,,99,0,0,0,0,0.669478
27,2,G,3,2,0.746527778,0.645833333,145,2,,,1,2,2,616,,,2,US,2,1,2,0.669478
871,8,G,2,3,0.569444444,0.395833333,250,1,,,1,1,2,505,20,,1,US,5,0,2,0.725279
