GATE,BAREA,TERMINAL,STRATA,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,GETTO1,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
69,F,,3,33,,6366,29,,4,18:45,20:00,1,3,2,2,1,2,1,,13,,2,1,2,,
69,F,,3,33,,6366,29,,4,18:10,20:00,8,4,2,1,2,1,2,,13,,6,0,3,,
69,F,,3,33,,6366,29,,4,17:00,20:00,2,3,0,0,1,1,2,,13,,3,1,2,,
69,F,,3,33,,6366,29,,4,18:30,20:00,2,3,2,2,2,1,2,,13,,5,2,4,,
69,F,,3,33,,6366,29,,4,10:55,20:00,6,3,1,0,1,1,1,,13,,6,2,4,,
69,F,,3,33,,6366,29,,4,17:30,20:00,1,7,1,2,2,1,2,,13,,5,2,4,,
69,F,,3,33,,6366,29,,4,16:00,20:00,2,2,2,1,1,1,1,,13,,6,2,4,,
69,F,,3,33,,6366,29,,4,17:00,20:00,2,7,1,2,2,1,1,,13,,6,2,0,,
69,F,,3,33,,6366,29,,4,11:00,20:00,8,9,1,2,2,2,2,,13,,4,2,4,,
69,F,,3,33,,6366,29,,4,17:45,20:00,3,2,1,1,2,1,2,,13,,6,1,4,,
2,A,,2,37,,1563,14,,4,0:00,14:00,1,4,2,1,2,1,2,,13,,3,1,0,,
2,A,,2,37,,1563,14,,4,11:50,14:00,2,12,1,1,1,1,2,,13,,2,2,3,,
2,A,,2,37,,1563,14,,4,13:15,14:00,2,2,1,1,2,2,2,,13,,4,1,0,,
2,A,,2,37,,1563,14,,4,11:30,14:00,2,4,1,2,2,1,2,,13,,3,2,0,,
2,A,,2,37,,1563,14,,4,11:00,14:00,5,6,1,2,2,1,2,,13,,6,2,1,,
2,A,,2,37,,1563,14,,4,12:10,14:00,8,9,1,2,2,1,2,,13,,5,1,4,,
2,A,,2,37,,1563,14,,4,12:00,14:00,3,9,1,2,2,1,2,,13,,3,0,2,,
2,A,,2,37,,1563,14,,4,11:00,14:00,2,5,1,2,1,1,2,,13,,4,1,2,,
2,A,,2,37,,1563,14,,4,11:00,14:00,1,9,1,2,1,1,2,,13,,5,1,4,,
2,A,,2,37,,1563,14,,4,12:00,14:00,2,2,1,0,1,1,2,,13,,2,2,1,,
2,A,,2,37,,1563,14,,4,13:00,14:00,2,4,1,2,2,2,2,,13,,3,1,4,,
2,A,,2,37,,1563,14,,4,11:30,14:00,2,7,1,1,0,2,2,,13,,5,2,4,,
2,A,,2,37,,1563,14,,4,12:00,14:00,3,2,1,0,1,1,2,,13,,5,2,1,,
2,A,,2,37,,1563,14,,4,12:45,14:00,2,4,1,1,1,0,2,,13,,6,2,4,,
2,A,,2,37,,1563,14,,4,13:00,14:00,1,9,1,2,1,1,2,,13,,5,1,3,,
2,A,,2,37,,1563,14,,4,12:00,14:00,3,5,1,1,2,2,2,,13,,5,2,0,,
2,A,,2,37,,1563,14,,4,12:00,14:00,2,4,1,1,2,1,2,,13,,3,2,0,,
2,A,,2,37,,1563,14,,4,11:30,14:00,2,2,1,1,2,2,2,,13,,7,2,0,,
2,A,,2,37,,1563,14,,4,1:00,14:00,1,9,1,1,1,1,2,,13,,4,1,4,,
102,G,,1,33,,893,87,,8,9:30,10:59,1,3,2,2,1,1,2,,13,,5,1,4,,
68,F,,2,33,,871,95,,4,12:00,16:02,2,4,1,1,1,1,2,,13,,3,1,1,,
68,F,,2,33,,871,95,,4,12:00,16:02,2,3,1,1,1,1,2,,13,,3,2,0,,
68,F,,2,33,,871,95,,4,8:45,16:02,8,3,1,1,2,0,2,,13,,3,1,1,,
68,F,,2,33,,871,95,,4,13:35,16:02,1,4,1,1,2,2,2,,13,,4,1,3,,
68,F,,2,33,,871,95,,4,13:00,16:02,2,3,1,1,2,1,2,,13,,4,2,3,,
68,F,,2,33,,871,95,,4,13:30,16:02,1,3,2,2,1,1,2,,13,,4,1,2,,
68,F,,2,33,,871,95,,4,8:35,16:02,11,3,1,0,2,1,2,,13,,4,1,2,,
68,F,,2,33,,871,95,,4,11:17,16:02,3,3,1,1,2,1,2,,13,,4,1,2,,
68,F,,2,33,,871,95,,4,14:15,16:02,1,13,1,1,1,1,2,,13,,6,1,3,,
68,F,,2,33,,871,95,,4,14:35,16:02,1,3,2,2,2,2,2,,13,,6,1,3,,
68,F,,2,33,,871,95,,4,15:10,16:02,2,3,2,1,2,2,2,,13,,6,1,3,,
68,F,,2,33,,871,95,,4,N,16:02,1,4,1,2,1,1,2,,13,,4,1,4,,
68,F,,2,33,,871,95,,4,13:45,16:02,1,5,2,1,2,2,2,,13,,3,1,3,,
68,F,,2,33,,871,95,,4,13:30,16:02,2,4,1,2,2,2,2,,13,,3,2,0,,
68,F,,2,33,,871,95,,4,11:00,16:02,2,3,1,2,2,1,2,,13,,1,1,0,,
70,F,,2,33,,5604,14,,4,9:00,11:16,3,3,0,0,2,1,2,,13,,7,2,1,,
70,F,,2,33,,5604,14,,4,9:15,11:16,2,4,1,1,2,2,2,,13,,5,2,4,,
