name,code,gate,flightID,loadFactor,seats,count,arrival,departure,delta.arrival,color
"Horizon Air to Portland, De Havilland Bombardier Dash 8","QX","null","22b53dfc-a7c0-4fc3-aac4-bf5b4ad78950","1","74","69","0.53125","0.5555555555555556","0.02430555555555558","null"
"Horizon Air to Portland, De Havilland Bombardier Dash 8","QX","B2","4f579256-e76e-4bab-bea9-640855a6eb32","1","74","66","0.7222222222222222","0.7465277777777778","0.02430555555555558","null"
"JetBlue Airways to Boston, Airbus Industries A321","B6","B23","ae78049c-1e9f-4caa-821c-9f5cb8657b41","1","183","171","0.2604166666666667","0.2916666666666667","0.03125","null"
"JetBlue Airways to Long Beach, Airbus Industries A321","B6","B14a","93e10ea8-2cb0-4698-a9d6-b7651a33b0a6","1","183","178","0.3569444444444444","0.3847222222222222","0.02777777777777779","null"
"JetBlue Airways to New York, Airbus Industries A321","B6","B5","127c0576-52c3-4867-99ba-704c34b33cb2","1","183","188","0.4166666666666667","0.4513888888888889","0.03472222222222221","null"
"JetBlue Airways to Long Beach, Airbus Industries A321","B6","B24a","8d2d9f26-fa2a-477f-a788-345f4b17199c","1","183","170","0.4236111111111111","0.46875","0.045138888888888895","null"
"JetBlue Airways to Long Beach, Airbus Industries A321","B6","B5","559b4237-7429-4332-ab75-538676fff980","1","183","175","0.46944444444444444","0.5041666666666667","0.03472222222222221","null"
"JetBlue Airways to Boston, Airbus Industries A321","B6","B10b","665a5466-f94a-4f8d-ad2c-c707f6e392b8","1","183","175","0.5347222222222222","0.5694444444444444","0.03472222222222221","null"
"JetBlue Airways to , Airbus Industries A321","B6","B19","9fde3b0a-7c65-453f-9914-ec1c8c4e1efe","1","183","185","0.6729166666666667","0.7083333333333334","0.03541666666666665","null"
"JetBlue Airways to Long Beach, Airbus Industries A321","B6","B18a","5e676a5c-7440-4ba2-8de9-35f376af0f4c","1","183","178","0.7708333333333334","0.8020833333333334","0.03125","null"
"JetBlue Airways to New York, Airbus Industries A321","B6","B22","a9fb9995-9c67-4b44-a9ba-85114af431e3","1","183","182","0.8256944444444444","0.875","0.0493055555555556","null"
"JetBlue Airways to Boston, Airbus Industries A321","B6","B6a","b6e75c79-d07f-41e3-a501-76cdc1678a28","1","183","179","0.8958333333333333","0.9305555555555555","0.03472222222222221","null"
"JetBlue Airways to Fort Lauderdale, Airbus Industries A321","B6","B22","c87db5e6-1045-44b6-b970-19f65b97575f","1","183","173","0.8993055555555555","0.9305555555555555","0.03125","null"
"JetBlue Airways to New York, Airbus Industries A321","B6","B7a","ce98ed7d-8685-45d5-a44d-59e7c854e76b","1","183","171","0.9631944444444445","0.9993055555555556","0.036111111111111094","null"
"JetBlue Airways to New York, Airbus Industries A321","B6","B21","eedeb393-3686-480e-be53-79b0bbf2112a","1","183","176","0.3020833333333333","0.3333333333333333","0.03125","null"
"British Airways to London, Airbus A350-1000","BA","B14","edf9b537-5ba7-4917-9788-02115bed7d8b","1","369","374","0.5104166666666666","0.59375","0.08333333333333337","null"
"British Airways to London, Airbus A350-1000","BA","B20","44c9a1b4-4b09-4a5a-9eb3-cca7d2c5330f","1","369","380","0.701388888888889","0.7881944444444445","0.08680555555555558","null"
"British Airways to London, Airbus A380","BA","B6","db7b6fa6-8b56-46de-af89-fcd8d803d9a0","1","469","457","0.6006944444444445","0.7048611111111112","0.10416666666666663","null"
"Delta Air Lines to New York, Airbus Industries A319","DL","C4","025ca48a-1e29-40a7-a414-f403739d4aeb","1","126","116","0.673611111111111","0.7222222222222222","0.04861111111111116","null"
"Delta Air Lines to Minneapolis, Airbus Industries A320","DL","C2","a1a79839-3bfb-464c-b706-15d1dd25dc5b","1","150","151","0.47916666666666663","0.517361111111111","0.03819444444444442","null"
"Delta Air Lines to Salt Lake City, Airbus Industries A320","DL","C4","fc5f5c37-11b7-4830-8269-78d45ae35c4d","1","150","164","0.7430555555555556","0.7673611111111112","0.02430555555555558","null"
"Delta Air Lines to Salt Lake City, Airbus Industries A320","DL","C7a","d47103d8-1989-404f-ba7d-cfe1c56b9911","1","150","143","0.2222222222222222","0.2534722222222222","0.03125","null"
